ano;sigla_uf;cnae_2;descricao_cnae;grupo;tratado;total_vinculos_ativos;massa_salarial;post;salario_medio
2019;AL;10112;Abate de reses, exceto suínos;sensibilidade;FALSE;284;395144,0699999999;FALSE;1,39135235915493e+03
2019;AL;10121;Abate de suínos, aves e outros pequenos animais;sensibilidade;FALSE;239;295181,2299999999;FALSE;1,23506790794979e+03
2019;AL;10139;Fabricação de produtos de carne;sensibilidade;FALSE;45;65334,0200000000;FALSE;1,45186711111111e+03
2019;AL;10201;Preservação do pescado e fabricação de produtos do pescado;sensibilidade;FALSE;66;94228,9700000000;FALSE;1,42771166666667e+03
2019;AL;10317;Fabricação de conservas de frutas;sensibilidade;FALSE;545;693225,9300000001;FALSE;1,27197418348624e+03
2019;AL;10325;Fabricação de conservas de legumes e outros vegetais;sensibilidade;FALSE;4;5200,0000000000;FALSE;1,30000000000000e+03
2019;AL;10333;Fabricação de sucos de frutas, hortaliças e legumes;sensibilidade;FALSE;49;61080,6900000000;FALSE;1,24654469387755e+03
2019;AL;10511;Preparação do leite;sensibilidade;FALSE;19;35525,4000000000;FALSE;1,86975789473684e+03
2019;AL;10520;Fabricação de laticínios;sensibilidade;FALSE;572;815090,8700000000;FALSE;1,42498403846154e+03
2019;AL;10538;Fabricação de sorvetes e outros gelados comestíveis;sensibilidade;FALSE;410;618103,2700000001;FALSE;1,50756895121951e+03
2019;AL;10619;Beneficiamento de arroz e fabricação de produtos do arroz;sensibilidade;FALSE;18;24732,0300000000;FALSE;1,37400166666667e+03
2019;AL;10627;Moagem de trigo e fabricação de derivados;sensibilidade;FALSE;151;378046,5000000001;FALSE;2,50361920529801e+03
2019;AL;10635;Fabricação de farinha de mandioca e derivados;sensibilidade;FALSE;36;45695,2500000000;FALSE;1,26931250000000e+03
2019;AL;10643;Fabricação de farinha de milho e derivados, exceto óleos de milho;sensibilidade;FALSE;836;1733605,0199999996;FALSE;2,07369021531100e+03
2019;AL;10651;Fabricação de amidos e féculas de vegetais e de óleos de milho;sensibilidade;FALSE;21;21482,3100000000;FALSE;1,02296714285714e+03
2019;AL;10660;Fabricação de alimentos para animais;sensibilidade;FALSE;184;267052,7099999998;FALSE;1,45137342391304e+03
2019;AL;10694;Moagem e fabricação de produtos de origem vegetal não especificados anteriormente;sensibilidade;FALSE;1205;3357892,8800000008;FALSE;2,78663309543569e+03
2019;AL;10716;Fabricação de açúcar em bruto;sensibilidade;FALSE;38865;63452719,5100002289;FALSE;1,63264426887946e+03
2019;AL;10813;Torrefação e moagem de café;sensibilidade;FALSE;4;5978,5200000000;FALSE;1,49463000000000e+03
2019;AL;10911;Fabricação de produtos de panificação;sensibilidade;FALSE;1454;1630109,8400000015;FALSE;1,12112093535076e+03
2019;AL;10929;Fabricação de biscoitos e bolachas;sensibilidade;FALSE;448;606313,1800000001;FALSE;1,35337763392857e+03
2019;AL;10937;Fabricação de produtos derivados do cacau, de chocolates e confeitos;sensibilidade;FALSE;3;3072,8700000000;FALSE;1,02429000000000e+03
2019;AL;10945;Fabricação de massas alimentícias;sensibilidade;FALSE;361;615230,3099999996;FALSE;1,70423908587258e+03
2019;AL;10953;Fabricação de especiarias, molhos, temperos e condimentos;sensibilidade;FALSE;47;53333,3600000000;FALSE;1,13475234042553e+03
2019;AL;10961;Fabricação de alimentos e pratos prontos;sensibilidade;FALSE;74;99194,4000000000;FALSE;1,34046486486486e+03
2019;AL;10996;Fabricação de produtos alimentícios não especificados anteriormente;sensibilidade;FALSE;268;319802,1000000001;FALSE;1,19329141791045e+03
2019;AL;13511;Fabricação de artefatos têxteis para uso doméstico;tratado_nucleo;TRUE;11;11041,3800000000;FALSE;1,00376181818182e+03
2019;AL;13529;Fabricação de artefatos de tapeçaria;tratado_nucleo;TRUE;12;13672,3500000000;FALSE;1,13936250000000e+03
2019;AL;13545;Fabricação de tecidos especiais, inclusive artefatos;tratado_nucleo;TRUE;1;998,0000000000;FALSE;9,98000000000000e+02
2019;AL;13596;Fabricação de outros produtos têxteis não especificados anteriormente;tratado_nucleo;TRUE;1;1030,0000000000;FALSE;1,03000000000000e+03
2019;AL;14118;Confecção de roupas íntimas;tratado_nucleo;TRUE;105;105006,2100000000;FALSE;1,00005914285714e+03
2019;AL;14126;Confecção de peças do vestuário, exceto roupas íntimas;tratado_nucleo;TRUE;471;538252,3299999998;FALSE;1,14278626326964e+03
2019;AL;14134;Confecção de roupas profissionais;tratado_nucleo;TRUE;135;144451,1700000000;FALSE;1,07000866666667e+03
2019;AL;14142;Fabricação de acessórios do vestuário, exceto para segurança e proteção;tratado_nucleo;TRUE;46;58103,0300000000;FALSE;1,26310934782609e+03
2019;AL;14223;Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias;tratado_nucleo;TRUE;17;28394,2200000000;FALSE;1,67024823529412e+03
2019;AL;15211;Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material;tratado_nucleo;TRUE;18;20406,0700000000;FALSE;1,13367055555556e+03
2019;AL;15297;Fabricação de artefatos de couro não especificados anteriormente;tratado_nucleo;TRUE;2;2018,0000000000;FALSE;1,00900000000000e+03
2019;AL;15319;Fabricação de calçados de couro;tratado_nucleo;TRUE;1;1673,9400000000;FALSE;1,67394000000000e+03
2019;AL;15335;Fabricação de calçados de material sintético;tratado_nucleo;TRUE;19;19289,2100000000;FALSE;1,01522157894737e+03
2019;AL;15394;Fabricação de calçados de materiais não especificados anteriormente;tratado_nucleo;TRUE;82;112060,5300000000;FALSE;1,36659182926829e+03
2019;AL;16102;Desdobramento de madeira;controle;FALSE;12;16474,8600000000;FALSE;1,37290500000000e+03
2019;AL;16226;Fabricação de estruturas de madeira e de artigos de carpintaria para construção;controle;FALSE;161;195125,1500000000;FALSE;1,21195745341615e+03
2019;AL;16234;Fabricação de artefatos de tanoaria e de embalagens de madeira;controle;FALSE;7;7041,4300000000;FALSE;1,00591857142857e+03
2019;AL;16293;"Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto
móveis";controle;FALSE;101;140831,8800000000;FALSE;1,39437504950495e+03
